 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Ano e Imuno
Período:1994-2019
"Ano";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"103 Dupla Adulto (dt)";"095 Tríplice Bacteriana(DTP)(1º ref)";"018 Sarampo";"009 Haemophilus influenzae b";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"1994";1442773;-;-;-;144614;-;-;951598;-;86149;-;-;-;-;-;-;-;1058103;-;-;-;1165982;-;-;-;4849219
"1995";3118425;-;-;-;316010;-;-;2341912;-;144732;-;-;-;-;-;-;-;2423578;-;-;-;2613843;4;-;-;10958504
"1996";3250708;-;-;-;514762;-;-;2522390;-;176228;-;-;-;-;-;-;-;2441053;-;-;-;2508162;452;-;-;11413755
"1997";3709941;-;-;-;183338;-;-;2827700;-;248265;-;-;-;-;-;-;-;2486541;-;-;-;3440381;1042;-;-;12897208
"1998";3568228;-;-;-;403949;-;-;3046858;-;591149;-;-;-;-;-;-;-;2972400;-;-;-;3045492;26714;-;-;13654790
"1999";3813081;-;-;-;2714650;-;-;3221283;-;944728;-;-;-;-;2622569;-;-;3071205;-;-;-;3228898;165527;-;-;19781941
"2000";3772892;-;-;-;3075124;-;-;3424919;-;1253896;-;-;-;-;2603164;-;-;3197754;-;-;-;3557231;2966232;-;-;23851212
"2001";3643993;-;-;-;2973497;-;-;3327803;-;1302294;-;-;-;-;2944931;-;-;3153708;-;-;-;3360925;3012958;-;-;23720109
"2002";3542563;-;-;-;2938416;-;-;3212628;-;1243045;-;-;-;-;3134799;-;-;1435465;-;-;-;3084612;1252217;-;-;19843745
"2003";3465048;-;-;-;2938883;-;-;3209756;-;1107875;-;-;-;-;3626412;-;-;44906;-;-;-;129800;55009;-;-;14577689
"2004";3425750;-;-;-;2908817;-;-;3152042;-;1157103;-;-;-;-;3352861;-;-;3094882;-;-;-;-;-;-;-;17091455
"2005";3472248;-;-;-;2986306;-;-;3188367;-;1302591;-;-;-;-;3231165;-;-;3118403;-;-;-;-;-;-;-;17299080
"2006";3328774;-;1369812;-;2953206;-;-;3098951;-;1359490;-;-;-;-;3102996;-;-;3047459;-;-;-;-;-;-;-;18260688
"2007";3211520;-;2306722;-;2887828;-;-;3047976;-;1423164;-;-;-;-;3088679;-;-;2985030;-;-;-;-;-;-;-;18950919
"2008";3196210;-;2382367;-;2819023;-;-;2939834;-;1381848;-;-;-;-;2929082;-;-;2875316;-;-;-;-;-;-;-;18523680
"2009";3131159;-;2476766;-;2886128;-;-;2985774;-;1431089;-;-;-;-;2988032;-;-;2929654;-;-;-;-;-;-;-;18828602
"2010";3070853;-;2391533;639104;2767036;-;691929;2861066;-;1376029;-;-;-;-;2878184;-;-;2822824;-;-;-;-;-;-;-;19498558
"2011";3108763;-;2507291;3043101;2814242;-;2351480;2918479;-;1409855;-;-;-;-;2948879;-;-;2868892;-;-;-;-;-;-;-;23970982
"2012";3044007;-;2487415;2769917;2784191;716708;2545602;2780576;-;1420288;-;-;-;-;2865668;-;-;2701830;-;-;-;-;-;-;-;24116202
"2013";3129807;-;2724813;2904968;2929906;2793851;2726374;2934278;-;1499370;-;2713019;2690673;2707226;3131123;2006567;996287;2851107;165544;-;2650263;-;-;1477999;81614;43114789
"2014";3116296;2571735;2714246;2798885;2800797;2755037;2714310;2810642;-;1356343;1746533;2551427;2569026;2506913;3276483;2697831;2619821;2773320;124519;-;2508464;-;-;1263527;271435;48547590
"2015";3049524;2638871;2767095;2849450;2836595;2794548;2734464;2852556;-;1324453;2816967;2563692;2549172;2452459;2787903;2319769;2245170;2811624;141724;-;2489336;-;-;1322415;1304918;49652705
"2016";2843993;2433100;2648372;2728699;3130964;2657003;2827520;2513077;-;1286769;2130512;2502625;2793142;2212417;2839666;2283169;2352531;2664547;150122;-;1913131;-;-;938567;1006439;46856365
"2017";2890591;2535899;2519664;2590757;2568458;2493687;2725289;2508194;6624;1347678;2471902;2370918;2444389;2322737;2703996;2275578;1097158;2500636;157712;5689961;2211157;-;-;1028778;1260726;50722489
"2018";2789273;2475488;2561930;2497445;2651880;2486063;2666835;2516533;5371;1648260;2345053;2283717;2275442;2052164;2622897;2183221;926437;2492050;107262;6132388;1926224;-;-;1342030;1799803;50787766
"2019";1547820;1412844;1533955;1568800;1635183;1453810;1591326;1506818;1854;1144755;1522917;1476340;1612675;1341320;1672026;1414126;656702;1457432;53753;4171330;1131487;-;-;877068;1197981;31982322
"Total";81684240;14067937;33391981;24391126;60563803;18150707;23575129;72702010;13849;28967446;13033884;16461738;16934519;15595236;61351515;15180261;10894106;66279719;900636;15993679;14830062;26135326;7480155;8250384;6922916;653752364
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

